Material,Month,Stock On Hand,Val.stk(I),Tot. usage,Unit
32843,10.202,"1,059.00",PC,799,PC
32843,11.202,"1,808.00",PC,"1,143",PC
32843,12.202,"1,635.00",PC,911,PC
32843,1.2021,"1,207.00",PC,"1,102",PC
32843,2.2021,808,PC,523,PC
32843,3.2021,907,PC,697,PC
32843,4.2021,916,PC,726,PC
32843,5.2021,"2,088.00",PC,936,PC
32843,6.2021,"1,466.00",PC,960,PC
32843,7.2021,995,PC,897,PC
32843,8.2021,"1,058.00",PC,892,PC
32843,9.2021,851,PC,819,PC
32843,10.2021,"1,595.00",PC,"1,036",PC
32843,11.2021,"1,486.00",PC,"1,096",PC
32843,12.2021,"1,427.00",PC,965,PC
32843,1.2022,"1,188.00",PC,948,PC
32843,2.2022,890,PC,849,PC
32843,3.2022,"1,424.00",PC,737,PC
32843,4.2022,"2,159.00",PC,764,PC
32843,5.2022,"1,129.00",PC,385,PC
32843,6.2022,763,PC,283,PC
32843,7.2022,"1,253.00",PC,755,PC
32843,8.2022,"1,158.00",PC,992,PC
32843,9.2022,"1,411.00",PC,"1,176",PC
32843,10.2022,"2,748.00",PC,"1,527",PC
32843,11.2022,"2,341.00",PC,"1,238",PC
32843,12.2022,"2,144.00",PC,"1,466",PC
32843,1.2023,"1,578.00",PC,"1,016",PC
32843,2.2023,"1,391.00",PC,858,PC
32843,3.2023,"1,145.00",PC,960,PC
32843,4.2023,"1,201.00",PC,869,PC
32843,5.2023,"1,053.00",PC,"1,001",PC
32843,6.2023,"1,135.00",PC,"1,094",PC
32843,7.2023,"1,766.00",PC,935,PC
32843,8.2023,"1,179.00",PC,"1,067",PC
32843,9.2023,"1,454.00",PC,"1,126",PC
32843,10.2023,"2,406.00",PC,"1,183",PC
32843,11.2023,"2,556.00",PC,"1,397",PC
32843,12.2023,"3,010.00",PC,"1,442",PC
33909,1.2013,0,PC,0,PC
33909,2.2013,0,PC,0,PC
33909,3.2013,0,PC,0,PC
33909,4.2013,0,PC,0,PC
33909,5.2013,0,PC,0,PC
33909,6.2013,0,PC,0,PC
33909,7.2013,0,PC,0,PC
33909,8.2013,0,PC,0,PC
33909,9.2013,0,PC,0,PC
33909,10.2013,0,PC,0,PC
33909,11.2013,0,PC,0,PC
33909,12.2013,0,PC,0,PC
33909,1.2014,0,PC,0,PC
33909,2.2014,0,PC,0,PC
33909,3.2014,0,PC,0,PC
33909,4.2014,0,PC,0,PC
33909,5.2014,0,PC,0,PC
33909,6.2014,0,PC,0,PC
33909,7.2014,0,PC,0,PC
33909,8.2014,0,PC,0,PC
33909,9.2014,0,PC,0,PC
33909,10.2014,0,PC,0,PC
33909,11.2014,0,PC,0,PC
33909,12.2014,0,PC,0,PC
33909,1.2015,0,PC,0,PC
33909,2.2015,0,PC,0,PC
33909,3.2015,0,PC,0,PC
33909,4.2015,0,PC,0,PC
33909,5.2015,0,PC,0,PC
33909,6.2015,15,PC,0,PC
33909,7.2015,160,PC,0,PC
33909,8.2015,854,PC,436,PC
33909,9.2015,"1,344.00",PC,428,PC
33909,10.2015,"2,333.00",PC,650,PC
33909,11.2015,"1,274.00",PC,586,PC
33909,12.2015,990,PC,574,PC
33909,1.2016,"1,277.00",PC,702,PC
