"Material","Month","Stock On Hand","Val.stk(I)","Consumption","Tot. usage"
"019329","12.2021","899.00","PC","796","PC"
"019329","01.2022","1,436.00","PC","1,034","PC"
"019329","02.2022","269.00","PC","246","PC"
"019329","03.2022","643.00","PC","406","PC"
"019329","04.2022","1,334.00","PC","880","PC"
"019329","05.2022","1,513.00","PC","955","PC"
"019329","06.2022","1,207.00","PC","809","PC"
"019329","07.2022","922.00","PC","797","PC"
"019329","08.2022","992.00","PC","920","PC"
"019329","09.2022","1,009.00","PC","871","PC"
"019329","10.2022","1,723.00","PC","907","PC"
"019329","11.2022","1,263.00","PC","1,115","PC"
"019329","12.2022","1,726.00","PC","1,047","PC"
"019329","01.2023","1,010.00","PC","712","PC"
"019329","02.2023","797.00","PC","320","PC"
"019329","03.2023","743.00","PC","452","PC"
"019329","04.2023","675.00","PC","561","PC"
"019329","05.2023","1,143.00","PC","722","PC"
"019329","06.2023","981.00","PC","680","PC"
"019329","07.2023","817.00","PC","700","PC"
"019329","08.2023","1,083.00","PC","702","PC"
"019329","09.2023","860.00","PC","596","PC"
"019329","10.2023","787.00","PC","584","PC"
"019329","11.2023","688.00","PC","640","PC"
"019329","12.2023","1,264.00","PC","687","PC"
"032843","01.2013","0.00","PC","0","PC"
"032843 ","02.2013","0.00","PC","0","PC"
"032843","03.2013","0.00","PC","0","PC"
"032843","04.2013","0.00","PC","0","PC"
"032843","05.2013","0.00","PC","0","PC"
"032843","06.2013","0.00","PC","0","PC"
"032843","07.2013","0.00","PC","0","PC"
"032843","08.2013","0.00","PC","0","PC"
"032843","09.2013","0.00","PC","0","PC"
"032843","10.2013","0.00","PC","0","PC"
"032843","11.2013","0.00","PC","0","PC"
"032843","12.2013","0.00","PC","0","PC"
"032843","01.2014","0.00","PC","0","PC"
"032843","02.2014","0.00","PC","0","PC"
"032843","03.2014","0.00","PC","0","PC"
"032843","04.2014","0.00","PC","0","PC"
"032843","05.2014","0.00","PC","0","PC"
"032843","06.2014","0.00","PC","0","PC"
"032843","07.2014","0.00","PC","0","PC"
"032843","08.2014","0.00","PC","0","PC"
"032843","09.2014","0.00","PC","0","PC"
"032843","10.2014","0.00","PC","0","PC"
"032843","11.2014","0.00","PC","0","PC"
"032843","12.2014","0.00","PC","0","PC"
"032843","01.2015","0.00","PC","0","PC"
"032843","02.2015","0.00","PC","0","PC"
"032843","03.2015","0.00","PC","0","PC"
"032843","04.2015","0.00","PC","0","PC"
"032843","05.2015","0.00","PC","0","PC"
"032843","06.2015","0.00","PC","0","PC"
"032843","07.2015","0.00","PC","0","PC"
"032843","08.2015","0.00","PC","0","PC"
"032843","09.2015","0.00","PC","0","PC"
"032843","10.2015","0.00","PC","0","PC"
"032843","11.2015","0.00","PC","0","PC"
"032843","12.2015","0.00","PC","0","PC"
"032843","01.2016","0.00","PC","0","PC"
"032843","02.2016","0.00","PC","0","PC"
"032843","03.2016","0.00","PC","0","PC"
"032843","04.2016","0.00","PC","0","PC"
"032843","05.2016","0.00","PC","0","PC"
"032843","06.2016","0.00","PC","0","PC"
"032843","07.2016","0.00","PC","0","PC"
"032843","08.2016","0.00","PC","0","PC"
"032843","09.2016","0.00","PC","0","PC"
"032843","10.2016","0.00","PC","0","PC"
"032843","11.2016","0.00","PC","0","PC"
"032843","12.2016","0.00","PC","0","PC"
"032843","01.2017","0.00","PC","0","PC"
"032843","02.2017","0.00","PC","0","PC"
"032843","03.2017","0.00","PC","0","PC"
"032843","04.2017","0.00","PC","0","PC"
"032843","05.2017","0.00","PC","0","PC"
"032843","06.2017","0.00","PC","0","PC"
"032843","07.2017","0.00","PC","0","PC"
"032843","08.2017","0.00","PC","0","PC"
"032843","09.2017","0.00","PC","0","PC"
"032843","10.2017","0.00","PC","0","PC"
"032843","11.2017","0.00","PC","0","PC"
"032843","12.2017","0.00","PC","0","PC"
"032843","01.2018","0.00","PC","0","PC"
"032843","02.2018","0.00","PC","0","PC"
"032843","03.2018","0.00","PC","0","PC"
"032843","04.2018","0.00","PC","0","PC"
"032843","05.2018","0.00","PC","0","PC"
"032843","06.2018","0.00","PC","0","PC"
"032843","07.2018","0.00","PC","0","PC"
"032843","08.2018","284.00","PC","0","PC"
"032843","09.2018","237.00","PC","17","PC"
"032843","10.2018","1,049.00","PC","724","PC"
"032843","11.2018","1,434.00","PC","851","PC"
"032843","12.2018","1,014.00","PC","790","PC"
"032843","01.2019","1,656.00","PC","957","PC"
"032843","02.2019","1,130.00","PC","661","PC"
"032843","03.2019","1,883.00","PC","1,100","PC"
"032843","04.2019","1,748.00","PC","1,025","PC"
"032843","05.2019","1,390.00","PC","942","PC"
"032843","06.2019","811.00","PC","769","PC"
"032843","07.2019","872.00","PC","706","PC"
"032843","08.2019","830.00","PC","786","PC"
"032843","09.2019","1,005.00","PC","838","PC"
"032843","10.2019","1,226.00","PC","850","PC"
"032843","11.2019","799.00","PC","760","PC"
"032843","12.2019","1,908.00","PC","1,266","PC"
"032843","01.2020","1,465.00","PC","701","PC"
"032843","02.2020","1,639.00","PC","628","PC"
"032843","03.2020","647.00","PC","589","PC"
"032843","04.2020","1,110.00","PC","651","PC"
"032843","05.2020","990.00","PC","800","PC"
"032843","06.2020","1,572.00","PC","834","PC"
"032843","07.2020","945.00","PC","761","PC"
"032843","08.2020","994.00","PC","646","PC"
"032843","09.2020","787.00","PC","714","PC"
"032843","10.2020","1,059.00","PC","799","PC"
"032843","11.2020","1,808.00","PC","1,143","PC"
"032843","12.2020","1,635.00","PC","911","PC"
"032843","01.2021","1,207.00","PC","1,102","PC"
"032843","02.2021","808.00","PC","523","PC"
"032843","03.2021","907.00","PC","697","PC"
"032843","04.2021","916.00","PC","726","PC"
"032843","05.2021","2,088.00","PC","936","PC"
"032843","06.2021","1,466.00","PC","960","PC"
"032843","07.2021","995.00","PC","897","PC"
"032843","08.2021","1,058.00","PC","892","PC"
"032843","09.2021","851.00","PC","819","PC"
"032843","10.2021","1,595.00","PC","1,036","PC"
"032843","11.2021","1,486.00","PC","1,096","PC"
"032843","12.2021","1,427.00","PC","965","PC"
"032843","01.2022","1,188.00","PC","948","PC"
"032843","02.2022","890.00","PC","849","PC"
"032843","03.2022","1,424.00","PC","737","PC"
"032843","04.2022","2,159.00","PC","764","PC"
"032843","05.2022","1,129.00","PC","385","PC"
"032843","06.2022","763.00","PC","283","PC"
"032843","07.2022","1,253.00","PC","755","PC"
"032843","08.2022","1,158.00","PC","992","PC"
"032843","09.2022","1,411.00","PC","1,176","PC"
"032843","10.2022","2,748.00","PC","1,527","PC"
"032843","11.2022","2,341.00","PC","1,238","PC"
"032843","12.2022","2,144.00","PC","1,466","PC"
"032843","01.2023","1,578.00","PC","1,016","PC"
"032843","02.2023","1,391.00","PC","858","PC"
"032843","03.2023","1,145.00","PC","960","PC"
"032843","04.2023","1,201.00","PC","869","PC"
"032843","05.2023","1,053.00","PC","1,001","PC"
"032843","06.2023","1,135.00","PC","1,094","PC"
"032843","07.2023","1,766.00","PC","935","PC"
"032843","08.2023","1,179.00","PC","1,067","PC"
"032843","09.2023","1,454.00","PC","1,126","PC"
"032843","10.2023","2,406.00","PC","1,183","PC"
"032843","11.2023","2,556.00","PC","1,397","PC"
"032843","12.2023","3,010.00","PC","1,442","PC"
"033909 ","01.2013","0.00","PC","0","PC"
"033909 ","02.2013","0.00","PC","0","PC"
"033909","03.2013","0.00","PC","0","PC"
"033909","04.2013","0.00","PC","0","PC"
"033909","05.2013","0.00","PC","0","PC"
"033909","06.2013","0.00","PC","0","PC"
"033909","07.2013","0.00","PC","0","PC"
"033909","08.2013","0.00","PC","0","PC"
"033909","09.2013","0.00","PC","0","PC"
